Miley Cyrus,We Can't Stop,165172415
Justin Bieber,What Do You Mean?,129048279
Katy Perry,Dark Horse,311800410
Rihanna,FourFiveSeconds,228861572
Britney Spears,Work [Explitive],65951585
Shakira,Can't Remember to Forget You,112651399
Justin Timberlake,Mirrors,176956139
Jennifer Lopez,On The Floor,74645822
Nicki Minaj,Bang Bang,298391865
Bruno Mars, Locked Out Of Heaven,215641682
P!nk,Just Give Me a Reason,186302243
Selena Gomez,Good For You,129699904
Eminem,The Monster,238954283
Demi Lovato,Cool for the Summer,78734954
