Rk,player,team,salary2015,salary2016,salary2017,salary2018,salary2019,salary2020,Signed Using,Guaranteed
1,Alexander Kaun,CLE,,,,,,,,
2,Jamaal Franklin,MEM,163296,163296,163296,163296,,,,653184
3,Miroslav Raduljica,LAC,300000,300000,300000,300000,,,,1200000
4,Gal Mekel,DAL,315760,315760,315760,,,,,947280
5,Maurice Ndour,DAL,525000,875000,1014750,,,,Cap Space,525000
6,Ryan Boatright,BRK,525090,874640,,,,,Minimum Salary,75000
7,Cristiano Felicio,CHI,525090,874600,,,,,,
8,Lamar Patterson,ATL,525093,874636,,,,,,
9,Terran Petteway,ATL,525093,874636,,,,,,
10,Malcolm Miller,BOS,525093,,,,,,Minimum Salary,25000
11,Levi Randolph,BOS,525093,,,,,,Minimum Salary,25000
12,Corey Walden,BOS,525093,874636,,,,,Minimum Salary,25000
13,Coty Clarke,BOS,525093,,,,,,,
14,Aaron Harrison,CHO,525093,874636,,,,,Minimum Salary,75000
15,Jarrid Famous,DAL,525093,878636,1014746,,,,,
16,Brandon Ashley,DAL,525093,874636,1014746,,,,Minimum Salary,50000
17,Salah Mejri,DAL,525093,874636,1014746,,,,Minimum Salary,525093
18,Jamil Wilson,DAL,525093,878636,1014746,,,,,
19,Darrun Hilliard,DET,525093,874060,1014750,,,,Cap space,1399153
20,Jarell Eddie,GSW,525093,,,,,,,
21,Christian Wood,HOU,525093,874636,,,,,,
22,Branden Dawson,LAC,525093,874636,,,,,Minimum Salary,525093
23,Robert Upshaw,LAL,525093,874636,,,,,,
24,Jonathan Holmes,LAL,525093,874636,,,,,,
25,Michael Frazier,LAL,525093,874636,,,,,Minimum Salary,50000
26,Josh Richardson,MIA,525093,874636,1014746,,,,Minimum Salary,525093
27,Wesley Saunders,NYK,525093,,,,,,Minimum Salary,75000
28,Melvin Ejim,ORL,525093,,,,,,,
29,Keith Appling,ORL,525093,874636,,,,,,
30,Scottie Wilbekin,PHI,525093,874636,1014746,1088038,,,,
